"Latitude","Longitude","Name","Description","Estilo","Telephone number","Photo./fotos/asd.jpg","WebPage"
-24.791132,-65.409766,AndarSalta Rent a Car & Car, Buenos Aires 88 Loc. 14, 0387-154812614,./fotos/andarsalta.jpg,http://www.andarsalta.com
-24.791297,-65.409838,Argentina Car Rental,Buenos Aires 102,0387-4321616,./fotos/carrental.jpeg ,http://www.argentina-carrental.com.ar
-24.790002,-65.408591,Avis Rent a Car, Caseros 420,0387-4212181,./fotos/avis.jpg,http://www.avis.com.ar
-24.791283,-65.408929,Lead Rent a Car,Alvarado 537,0387-156857396,./fotos/lead.jpg,http://leadrentacar.com.ar
-24.791319,-65.407907,Anta Alquiler de Autos, Alvarado 464,0387-4319147,./fotos/anta.jpg,http://www.antarentacar.com
-24.792563,-65.408779,Loira Rent a Car, Urquiza 418, 0387-154576818,./fotos/loira.jpg,http://www.loirarentacar.com.ar







